1.1,1.2,1.3,1.4,2.1,2.2,2.3,2.4,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,5.3,6.1,7.1,7.2,7.3,7.4,8.1,8.2,8.3,8.4,8.5,8.6,
,x,,,,,,,,x,,x,,,,,,,,,,,,,,,x,,
x,x,x,,x,,x,,x,x,,,,,,,,,,,,,,x,,,x,,
,,,,,,,x,x,x,,x,,x,,,x,x,,,,,,x,,,x,,
x,x,x,,x,x,,x,,,x,,,,,,,,,,,,,x,,,,,
,x,x,,x,x,x,x,,,x,,,,,,x,x,,,,,,x,,x,,,
,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,,
,x,,,,,x,,,x,x,,,,,,,x,,,,,,x,,,,,
,,,x,,,,,,,x,,,,,x,,,,,,,x,,,,,,
,x,x,,x,,x,x,,,,,,,,,,,,,,,,x,,,,,
,x,,,x,,x,,,x,,,,,,,,,,,,,,x,,x,x,,
x,,,,x,x,x,,x,x,,,,,,,,x,,,,,x,,x,,,,
,x,,,,x,,,x,,,,,,,,,x,,,,,,,,,x,,
,x,,,,x,x,,,x,,,,,,,,x,,,,,,,x,,x,,
,x,,,,x,x,,,x,,,,,,,,,,x,x,x,x,,,,x,,
,x,,,,,x,,,x,x,,,,,,x,x,,,,,,x,,x,,,
,x,x,,,,x,x,,,x,,,,,,,,x,x,x,,x,,,,,x,
x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
x,x,,x,,,,,,x,,,x,x,,,,,,,,,x,x,x,x,x,,
x,,x,,x,,x,x,,,x,,,,x,,,,,,x,x,x,,,,x,,
,,,x,x,,,,,,,,,,,,,x,,,,,x,,,,,,
,x,,,x,,x,x,,x,x,,,,x,,x,,,,,,,x,,x,x,,
,,x,x,x,,,,x,,x,,,,x,x,x,,,,,,,,x,x,,,
,,,x,,,x,x,,,x,,,x,,,,,,,,,,,,,x,,
,,,x,x,,x,x,,x,,,,x,,,,,,,,,,,,,x,,
,x,,,x,x,,x,,,x,,,,x,,x,,,x,x,,x,x,x,x,x,x,
,,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,
x,,,,,x,x,,,x,,,,,,,,,,,,,,,,,x,,
,,,,x,,,,x,,,,,,x,,,,,,,,,x,,,x,,
,,,,,,x,,,,,,,,,,,,,,,,,x,,,x,,
,,,,,,x,,,,x,,,,,,,,,,,,,x,,,x,,
,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,
,,,,,x,x,,,,x,,,,x,,,,,,,,x,,x,,,,
,,,,,,,x,,x,x,,,,,,x,,,,,,,,,,,,
x,x,,,,x,x,,,x,x,,,,,,,,,,,,,,,,x,,
,,,,,,x,,,,x,x,x,,x,x,,x,x,,,,,,,,,x,
,,x,,,,x,x,,,x,,,,,,,,,,,,,,,,,,
,,,,,,,,,,x,,,,,,,,,x,x,,,x,,,,,
,,,,,,,,,,x,,,,,,,,,x,x,,x,,,,,x,
,,,,,,,,,,x,,,,,,,,,x,x,,x,,,,,x,















